block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
28,12,22.0,24.0,11,-0.2679732157554556,0.7328717370602573
29,1,0.0,2.0,15,-0.2927485498531942,0.7103870015596899
29,2,2.0,4.0,11,-0.2467453618565136,0.7481024588147115
29,3,4.0,6.0,8,-0.14503540738100376,0.7825423864936265
29,4,6.0,8.0,11,-0.02877730983065596,0.751738161961785
29,5,8.0,10.0,9,-0.16923132493629053,0.7838395449147743
29,6,10.0,12.0,14,0.11936945175838938,0.7170092778123525
29,7,12.0,14.0,8,-0.15235896054094902,0.7678117589900195
29,8,14.0,16.0,12,-0.07367085240102188,0.7728870209408119
29,9,16.0,18.0,9,-0.12849802955759526,0.7538876337878263
29,10,18.0,20.0,13,-0.15615073012959393,0.7580112112229898
29,11,20.0,22.0,9,-0.06549870355094455,0.7075646076010738
29,12,22.0,24.0,11,-0.19895350873175915,0.7329146965213419
30,1,0.0,2.0,15,-0.08791228971321162,0.7033232610496752
30,2,2.0,4.0,11,-0.10567140569394365,0.7649533703184102
30,3,4.0,6.0,8,-0.1995200646523608,0.7704969676065021
30,4,6.0,8.0,11,-0.09211270952388083,0.740913574995146
30,5,8.0,10.0,9,0.01895585261918238,0.7566082239474846
30,6,10.0,12.0,14,-0.023163608121517645,0.7256809668633952
30,7,12.0,14.0,8,0.032562360002370644,0.7820735255710286
30,8,14.0,16.0,12,0.0029291426721489828,0.7663538345526714
30,9,16.0,18.0,9,4.693899559668625e-05,0.7798840754543243
30,10,18.0,20.0,13,-0.09813763501716698,0.7562659850913225
30,11,20.0,22.0,9,-0.08392881386202002,0.7423946572624486
30,12,22.0,24.0,11,-0.2474916956235305,0.7295869523524464
31,1,0.0,2.0,15,-0.16088113621752548,0.7331930171652642
31,2,2.0,4.0,11,-0.08829640707674266,0.7533305561244801
31,3,4.0,6.0,8,-0.1520860091959545,0.7922698142547661
31,4,6.0,8.0,11,-0.18407601740257462,0.7683877752954645
31,5,8.0,10.0,9,0.046932507768714285,0.7390362512307715
31,6,10.0,12.0,14,0.03284167823418813,0.7540862996365155
31,7,12.0,14.0,8,-0.05152260847195968,0.7954861077237446
31,8,14.0,16.0,12,-0.20642996528474686,0.7394177100753669
