r_A,pair,ML_g,ML_sem,AIMD_g,AIMD_sem,difference_ML_minus_AIMD
1.59500,Si-O,21.89582627,0,25.93560622,0.3617517531,-4.039779947
1.59500,O-O,0,0,0.2502380146,0.02009549863,-0.2502380146
1.59500,O-H,1.101573207,0.02504322243,1.275964743,0.02685966222,-0.1743915367
1.60500,Si-O,21.62383195,9.62573492e-08,35.74419422,0.4395630946,-14.12036226
1.60500,O-O,0,0,0.308911885,0.02207395893,-0.308911885
1.60500,O-H,1.279059228,0.02701256633,1.398468707,0.02812369657,-0.1194094791
1.61500,Si-O,37.37453033,0,45.05766592,0.4758283056,-7.683135592
1.61500,O-O,0,0,0.3748349398,0.02420621923,-0.3748349398
1.61500,O-H,1.330741179,0.02861278334,1.421460645,0.02844013121,-0.0907194668
1.62500,Si-O,31.64224536,1.738985303e-07,50.80689864,0.4724030514,-19.16465328
1.62500,O-O,0,0,0.4305067397,0.02597351021,-0.4305067397
1.62500,O-H,1.452183048,0.02847597499,1.674518825,0.03111069909,-0.2223357772
1.63500,Si-O,46.8845537,2.714204687e-07,51.99497006,0.497344149,-5.110416354
1.63500,O-O,0,0,0.5579368205,0.02908785827,-0.5579368205
1.63500,O-H,1.603202792,0.02992245732,1.756441982,0.03067386482,-0.1532391903
1.64500,Si-O,66.9012689,5.05537349e-07,49.02319135,0.4741628856,17.87807755
1.64500,O-O,1.680408638,0,0.4957205482,0.02761065314,1.18468809
1.64500,O-H,1.701815259,0.03022621921,1.852104019,0.03223765152,-0.1502887593
1.65500,Si-O,55.92674096,0,42.35179566,0.4447221558,13.57494531
1.65500,O-O,0,0,0.599318842,0.03028052659,-0.599318842
1.65500,O-H,1.828170023,0.03067110209,1.919956469,0.03139377058,-0.09178644535
1.66500,Si-O,50.23360699,1.206313194e-07,34.22415644,0.387939775,16.00945055
1.66500,O-O,1.640281045,0,0.4970051565,0.02730912773,1.143275888
1.66500,O-H,1.888961441,0.03139829778,2.115146036,0.0343064372,-0.226184595
1.67500,Si-O,29.78135698,1.461955043e-07,25.43327886,0.3421121996,4.348078119
1.67500,O-O,3.241508243,0,0.4829847281,0.0269842663,2.758523514
1.67500,O-H,2.094182854,0.03285962293,2.126336178,0.03441483997,-0.03215332346
1.68500,Si-O,34.33373886,7.688768147e-08,19.20236966,0.297532007,15.1313692
1.68500,O-O,0,0,0.4484406708,0.02458298438,-0.4484406708
1.68500,O-H,2.105860524,0.03133496499,2.250661223,0.03439276283,-0.1448006989
1.69500,Si-O,19.38846697,1.153315222e-07,13.31502969,0.2427912503,6.07343728
1.69500,O-O,0,0,0.3751074835,0.02362627133,-0.3751074835
1.69500,O-H,2.245802161,0.03284347905,2.289554897,0.03306884989,-0.04375273521
1.70500,Si-O,9.58085194,0,9.403606179,0.2035582152,0.1772457609
1.70500,O-O,0,0,0.3503854424,0.02244119827,-0.3503854424
1.70500,O-H,2.306017797,0.03476039743,2.294317288,0.03376713806,0.01170050945
1.71500,Si-O,0,0,5.961017483,0.1695215668,-5.961017483
1.71500,O-O,0,0,0.228812783,0.01868692019,-0.228812783
1.71500,O-H,2.297304832,0.03397263455,2.372725214,0.03546821691,-0.07542038188
1.72500,Si-O,0,0,4.179229189,0.1417620014,-4.179229189
1.72500,O-O,0,0,0.1971325513,0.01717796535,-0.1971325513
1.72500,O-H,2.331379456,0.03344087811,2.42531054,0.03360327795,-0.09393108444
1.73500,Si-O,0,0,2.673941013,0.1066953546,-2.673941013
1.73500,O-O,0,0,0.1555912291,0.01513544788,-0.1555912291
1.73500,O-H,2.390555833,0.03354400937,2.354692582,0.03477380339,0.03586325026
1.74500,Si-O,0,0,2.021409782,0.09267457519,-2.021409782
1.74500,O-O,0,0,0.1149864646,0.01310996382,-0.1149864646
1.74500,O-H,2.397717557,0.03450268413,2.400145871,0.03221023611,-0.002428314317
1.75500,Si-O,0,0,1.333800095,0.07804743636,-1.333800095
1.75500,O-O,0,0,0.0797235062,0.0105520072,-0.0797235062
1.75500,O-H,2.362788757,0.03419744389,2.384395238,0.03308761641,-0.02160648122
1.76500,Si-O,0,0,0.8761725338,0.06219683612,-0.8761725338
1.76500,O-O,0,0,0.04233070134,0.007745796449,-0.04233070134
1.76500,O-H,2.374068363,0.03273494239,2.357453207,0.03338877408,0.01661515551
1.77500,Si-O,0,0,0.5613451855,0.04819081147,-0.5613451855
1.77500,O-O,0,0,0.03175213005,0.006998934185,-0.03175213005
1.77500,O-H,2.372271118,0.03257099439,2.255394286,0.03155360998,0.1168768319
1.78500,Si-O,0,0,0.441436197,0.0430013414,-0.441436197
1.78500,O-O,0,0,0.009990069522,0.003762652534,-0.009990069522
1.78500,O-H,2.300743954,0.03040438821,2.269646547,0.03112129727,0.03109740668
1.79500,Si-O,0,0,0.2333930263,0.03149023748,-0.2333930263
