layer_index,z_min_A,z_max_A,wavenumber_cm-1_shifted_plus80,VDOS_area_normalized_mean_unsmoothed,VDOS_SEM_50_blocks
4,16,20,1981.543365,3.151656833e-05,2.210218016e-06
4,16,20,1983.579279,2.948639072e-05,1.913673821e-06
4,16,20,1985.615192,2.841580207e-05,1.983915661e-06
4,16,20,1987.651106,2.885157171e-05,2.244543621e-06
4,16,20,1989.687020,2.926935185e-05,2.303174299e-06
4,16,20,1991.722933,2.859086976e-05,2.130374882e-06
4,16,20,1993.758847,2.891358831e-05,2.054072283e-06
4,16,20,1995.794761,3.027838915e-05,2.287627502e-06
4,16,20,1997.830674,3.025690023e-05,2.613530297e-06
4,16,20,1999.866588,2.901908493e-05,2.64409137e-06
4,16,20,2001.902502,2.82510448e-05,2.536193969e-06
4,16,20,2003.938415,2.790160556e-05,2.527720605e-06
4,16,20,2005.974329,2.719488668e-05,2.593953771e-06
4,16,20,2008.010243,2.656577458e-05,2.734079193e-06
4,16,20,2010.046156,2.654195478e-05,2.582632343e-06
4,16,20,2012.082070,2.667336589e-05,2.161165573e-06
4,16,20,2014.117984,2.655860213e-05,1.77598349e-06
4,16,20,2016.153897,2.644275365e-05,1.71863173e-06
4,16,20,2018.189811,2.648321728e-05,1.854338513e-06
4,16,20,2020.225725,2.633186931e-05,1.983311212e-06
4,16,20,2022.261638,2.616413533e-05,2.015193058e-06
4,16,20,2024.297552,2.646943052e-05,1.959519242e-06
4,16,20,2026.333466,2.685012878e-05,1.981780723e-06
4,16,20,2028.369379,2.671150789e-05,2.107265964e-06
4,16,20,2030.405293,2.597073022e-05,1.936499576e-06
4,16,20,2032.441207,2.496876447e-05,1.841307376e-06
4,16,20,2034.477120,2.459158272e-05,1.766690892e-06
4,16,20,2036.513034,2.493260714e-05,1.660867983e-06
4,16,20,2038.548948,2.436825627e-05,1.614701761e-06
4,16,20,2040.584861,2.264079277e-05,1.480295481e-06
4,16,20,2042.620775,2.21750675e-05,1.404327063e-06
4,16,20,2044.656689,2.395161048e-05,1.582909019e-06
4,16,20,2046.692602,2.579751661e-05,2.007244096e-06
4,16,20,2048.728516,2.60755453e-05,1.959114179e-06
4,16,20,2050.764430,2.5738392e-05,1.667035723e-06
4,16,20,2052.800343,2.582752907e-05,1.510666148e-06
4,16,20,2054.836257,2.517311925e-05,1.485789765e-06
4,16,20,2056.872171,2.317627105e-05,1.309816651e-06
4,16,20,2058.908084,2.225063385e-05,1.159596257e-06
4,16,20,2060.943998,2.354540031e-05,1.244766902e-06
4,16,20,2062.979912,2.502196953e-05,1.492819402e-06
4,16,20,2065.015825,2.562842102e-05,1.85256946e-06
4,16,20,2067.051739,2.595515056e-05,2.174333392e-06
4,16,20,2069.087653,2.605645287e-05,2.098355872e-06
4,16,20,2071.123566,2.560103756e-05,1.679106144e-06
4,16,20,2073.159480,2.485102404e-05,1.346036949e-06
4,16,20,2075.195394,2.3843472e-05,1.317769547e-06
4,16,20,2077.231307,2.262933323e-05,1.412419027e-06
4,16,20,2079.267221,2.233308167e-05,1.561851538e-06
4,16,20,2081.303135,2.347274581e-05,1.677434636e-06
4,16,20,2083.339048,2.448229505e-05,1.78668754e-06
4,16,20,2085.374962,2.404131014e-05,1.698631168e-06
4,16,20,2087.410876,2.300073541e-05,1.547818892e-06
4,16,20,2089.446789,2.273104939e-05,1.600051118e-06
4,16,20,2091.482703,2.327244504e-05,1.674132401e-06
4,16,20,2093.518617,2.321665011e-05,1.542293988e-06
4,16,20,2095.554530,2.25276133e-05,1.382726527e-06
4,16,20,2097.590444,2.226535733e-05,1.493409225e-06
4,16,20,2099.626358,2.231838727e-05,1.622979123e-06
4,16,20,2101.662271,2.29118057e-05,1.669048485e-06
4,16,20,2103.698185,2.406528478e-05,1.872779587e-06
4,16,20,2105.734099,2.377355432e-05,1.842818438e-06
4,16,20,2107.770012,2.180316258e-05,1.633510829e-06
4,16,20,2109.805926,2.097992604e-05,1.641499656e-06
4,16,20,2111.841840,2.233588493e-05,1.881459056e-06
4,16,20,2113.877753,2.384819397e-05,2.096630018e-06
4,16,20,2115.913667,2.40275323e-05,1.930771495e-06
4,16,20,2117.949581,2.336427365e-05,1.729738099e-06
4,16,20,2119.985494,2.247447412e-05,1.655064963e-06
4,16,20,2122.021408,2.208960541e-05,1.640235884e-06
4,16,20,2124.057322,2.231450167e-05,1.564562746e-06
4,16,20,2126.093235,2.280739275e-05,1.481517949e-06
4,16,20,2128.129149,2.322437048e-05,1.589450759e-06
4,16,20,2130.165063,2.200022264e-05,1.648607538e-06
4,16,20,2132.200976,2.033266181e-05,1.404839453e-06
4,16,20,2134.236890,2.058572884e-05,1.369979639e-06
4,16,20,2136.272804,2.148958487e-05,1.472381958e-06
4,16,20,2138.308717,2.162807156e-05,1.526367007e-06
4,16,20,2140.344631,2.079157487e-05,1.444621802e-06
4,16,20,2142.380545,2.035063669e-05,1.31137904e-06
4,16,20,2144.416458,2.176187938e-05,1.252293803e-06
4,16,20,2146.452372,2.354916843e-05,1.444407708e-06
4,16,20,2148.488286,2.397325459e-05,1.565344056e-06
4,16,20,2150.524199,2.30445473e-05,1.371711717e-06
4,16,20,2152.560113,2.223222753e-05,1.256348928e-06
4,16,20,2154.596027,2.209279904e-05,1.298227704e-06
4,16,20,2156.631940,2.199724442e-05,1.293953941e-06
